Legislação,Número,Link Ficha,Modalidade,Tipo,Objeto,Data Abertura,Data Publicação,Município,Órgão,Situação,Valor Referência (R$),Valor Adjudicado (R$)
Lei n° 14.133/2021,005/2026-CMAC,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4286921,"INEXIGIBILIDADE, ART. 74, INCISO III, “C”",NÃO SE APLICA,"CONTRATAÇÃO DE PESSOA JURÍDICA PARA A PRESTAÇÃO DE SERVIÇOS TÉCNICOS ESPECIALIZADOS DE SUPORTE TECNOLÓGICO, ASSESSORIA TÉCNICA EM INFORMÁTICA E APOIO ADMINISTRATIVO ESPECIALIZADO, COMPREENDENDO A IMPLANTAÇÃO, ORGANIZAÇÃO, MANUTENÇÃO E ACOMPANHAMENTO DE ROTINAS E FLUXOS DIGITAIS ADMINISTRATIVOS DA CÂMARA MUNICIPAL DE AUGUSTO CORRÊA.",04/03/2026,21/07/2026,AUGUSTO CORREA,CAMARA MUNICIPAL DE AUGUSTO CORREA,REALIZADA,"100.000,00","100.000,00"
Lei n° 14.133/2021,047/2026- PE,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4334211,PREGÃO ELETRÔNICO,MENOR PREÇO,AQUISIÇÃO DE 02 (DOIS) CAMINHÕES COMPACTADORES PARA ATENDER A DEMANDA DO MUNICÍPIO DE ITAITUBA-PA.,03/08/2026,21/07/2026,ITAITUBA,PREFEITURA MUNICIPAL DE ITAITUBA,PUBLICADA,"1.123.253,34","0,00"
Lei n° 14.133/2021,017/2026-SEMEC,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333626,"INEXIGIBILIDADE, ART. 74, INCISO V",MENOR PREÇO,"LOCAÇÃO DE IMÓVEL SITUADO RIO MARACAPUCU, SN - RIO MARACAPUCU, ILHAS DE ABAETETUBA. CEP : 68440000- ABAETETUBA - PARÁ, TENDO COMO FINALIDADE PRECÍPUA O FUNCIONAMENTO DA EMEIF SAGRADO CORAÇÃO DE JESUS, LOCALIZADA NO RIO MARACAPUCU SAGRADO, ZONA RURAL DO MUNICIPIO DE ABAETETUBA.",01/04/2026,21/07/2026,ABAETETUBA,FUNDEB,PUBLICADA,"24.000,00","24.000,00"
Lei n° 14.133/2021,001/2026-CMSF,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333571,"INEXIGIBILIDADE, ART. 74, INCISO III, “C”",NÃO SE APLICA,"CONTRATAÇÃO DE PESSOA JURÍDICA PARA PRESTAÇÃO DE SERVIÇOS TÉCNICOS DE ASSESSORIA E CONSULTORIA JURÍDICA, A FIM DE ATENDER AS NECESSIDADES DA CÂMARA MUNICIPAL DE SÃO FRANCISCO DO PARÁ.",08/01/2026,21/07/2026,SAO FRANCISCO DO PARA,CAMARA MUNICIPAL DE SAO FRANCISCO DO PARA,PUBLICADA,"156.000,00","156.000,00"
Lei n° 14.133/2021,002/2026-CMSF,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333598,"INEXIGIBILIDADE, ART. 74, INCISO III, “C”",NÃO SE APLICA,"CONTRATAÇÃO DE PESSOA JURÍDICA PARA PRESTAÇÃO DE SERVIÇOS TÉCNICOS DE CONSULTORIA E ASSESSORIA CONTÁBIL, A FIM DE ATENDER AS NECESSIDADES DA CÂMARA MUNICIPAL DE SÃO FRANCISCO DO PARÁ.",08/01/2026,21/07/2026,SAO FRANCISCO DO PARA,CAMARA MUNICIPAL DE SAO FRANCISCO DO PARA,PUBLICADA,"156.000,00","156.000,00"
Lei n° 14.133/2021,001/2026,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4332616,PREGÃO ELETRÔNICO,MENOR PREÇO,"REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE MEDICAMENTOS GERAIS, CONTROLADOS E MATERIAIS CORRELATOS PARA ATENDER AS NECESSIDADES DA SECRETARIA MUNICIPAL DE SAÚDE.",22/07/2026,21/07/2026,CURRALINHO,FUNDO MUNICIPAL DE SAUDE,PUBLICADA,"15.240.600,61","0,00"
Lei n° 14.133/2021,ADESÃO DE ATA REGISTRO DE PREÇOS – Nº 005/2026,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333791,ADESÃO A ATA DE SRP (CONCORRÊNCIA PÚBLICA E PREGÃO PRESENCIAL OU ELETRÔNICO),NÃO SE APLICA,"CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE LOCAÇÃO DE ESTRUTURAS, SONORIZAÇÃO, ILUMINAÇÃO, MÃO DE OBRA, ATRAÇÕES ARTÍSTICAS E SHOWS PIROTÉCNICOS, VISANDO EVENTOS DO CALENDÁRIO CULTURAL DO MUNICÍPIO DE SÃO JOÃO DA PONTA/PA.",27/05/2026,21/07/2026,SAO JOAO DA PONTA,PREFEITURA MUNICIPAL DE SAO JOAO DA PONTA,REALIZADA,"1.921.643,99","1.790.880,00"
Lei n° 14.133/2021,6.003/2026,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4334039,"INEXIGIBILIDADE, ART. 74, INCISO V",MENOR PREÇO,"LOCAÇÃO DE IMÓVEL URBANO, LOCALIZADO NA AVENIDA GETÚLIO VARGAS, Nº 244, BAIRRO CENTRO, CACHOEIRA DO PIRIÁ/PA, DESTINADO AO FUNCIONAMENTO DA SECRETARIA MUNICIPAL DE MEIO AMBIENTE DE CACHOEIRA DO PIRIÁ",23/01/2026,21/07/2026,CACHOEIRA DO PIRIA,PREFEITURA MUNICIPAL DE CACHOEIRA DO PIRIA,PUBLICADA,"48.000,00","0,00"
Lei n° 14.133/2021,INEXIGIBILIDADE DE LICITAÇÃO Nº 005/2026,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333900,"INEXIGIBILIDADE, ART. 74, INCISO V",NÃO SE APLICA,"LOCAÇÃO DE IMÓVEL URBANO, LOCALIZADO A AV. GOVERNADOR JOSÉ MALCHER, Nº 1271, DESTINADO À INSTALAÇÃO E FUNCIONAMENTO DO CENTRO DE TESTAGEM E ACONSELHAMENTO – CTA, VINCULADO À SECRETARIA MUNICIPAL DE SAÚDE DE BELÉM – SESMA",16/04/2026,21/07/2026,BELEM,FUNDO MUNICIPAL DE SAUDE,REALIZADA,"288.000,00","288.000,00"
Lei n° 14.133/2021,003/2026-CMI,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333810,"INEXIGIBILIDADE, ART. 74, INCISO III, “C”",NÃO SE APLICA,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS TÉCNICOS DE CONSULTORIA E ASSESSORIA ADMINISTRATIVA E FINANCEIRA, ABRANGENDO ROTINAS ADMINISTRATIVAS, OPERACIONAIS, ORÇAMENTÁRIAS, FINANCEIRAS E DE APOIO À GESTÃO INTERNA, PARA ATENDER ÀS NECESSIDADES DÀ CÂMARA MUNICIPAL DE INHANGAPI/PA",24/04/2026,21/07/2026,INHANGAPI,CAMARA MUNICIPAL DE INHANGAPI,REALIZADA,"54.000,00","54.000,00"
Lei n° 14.133/2021,020/2026,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4334003,PREGÃO ELETRÔNICO,MENOR PREÇO,"AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS DESTINADOS AO
ATENDIMENTO DA ALIMENTAÇÃO ESCOLAR",04/08/2026,21/07/2026,TOME-ACU,FUNDO MUNICIPAL DE EDUCACAO,PUBLICADA,"8.527.099,77","0,00"
Lei n° 14.133/2021,PE/9.2026-021/PMP-SRP,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333323,PREGÃO ELETRÔNICO,MENOR PREÇO,"REGISTRO DE PREÇOS PARA FUTURA CONTRATAÇÃO DE PESSOA JURÍDICA PARA
PRESTAÇÃO DE SERVIÇOS DE HOTELARIA/HOSPEDAGEM EM HOTEL DENTRO DO PERÍMETRO URBANO DO MUNICÍPIO DE PRAINHA, VISANDO ATENDER ÀS NECESSIDADES DA PREFEITURA MUNICIPAL, DAS SECRETARIAS MUNICIPAIS, DOS FUNDOS MUNICIPAIS E DEMAIS ÓRGÃOS INTEGRANTES DA ESTRUTURA ADMINISTRATIVA DO MUNICÍPIO DE PRAINHA/PA",05/08/2026,21/07/2026,PRAINHA,PREFEITURA MUNICIPAL DE PRAINHA,PUBLICADA,"336.306,20","0,00"
Lei n° 14.133/2021,PE 118.26.SMS,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333420,PREGÃO ELETRÔNICO,MENOR PREÇO,"REGISTRO DE PREÇOS PARA EVENTUAL AQUISIÇÃO DE CESTAS BÁSICAS PADRONIZADAS, COMPOSTAS POR GÊNEROS ALIMENTÍCIOS, DESTINADAS AOS PACIENTES PORTADORES DE HANSENÍASE EM TRATAMENTO NO MUNICÍPIO DE MARABÁ, PARA ATENDER AS NECESSIDADES DEPARTAMENTO DE ATENÇÃO BÁSICA.",03/08/2026,21/07/2026,MARABA,FUNDO MUNICIPAL DE SAUDE,PUBLICADA,"428.590,80","0,00"
Lei n° 14.133/2021,041-2026 FMS,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4334102,PREGÃO ELETRÔNICO,MENOR PREÇO,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE AGENCIAMENTO DE PASSAGENS AÉREAS NACIONAIS, COMPREENDENDO RESERVA, EMISSÃO, MARCAÇÃO, REMARCAÇÃO, CANCELAMENTO, REEMBOLSO, ALTERAÇÃO DE DATAS E HORÁRIOS, ATENDENDO AS NECESSIDADES DO FUNDO MUNICIPAL DE SAÚDE RONDON DO PARÁ.",05/08/2026,21/07/2026,RONDON DO PARA,FUNDO MUNICIPAL DE SAUDE,PUBLICADA,"121.752,52","0,00"
Lei n° 14.133/2021,007/2026,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4334113,"INEXIGIBILIDADE, ART. 74, INCISO II",MELHOR TÉCNICA OU CONTEÚDO ARTÍSTICO,"CONTRATAÇÃO DA APARELHAGENS “CARABAO, O MÁXIMO DO MARAJÓ”, NA DATA
DE 01/08/2026, E “CARABAO, O BÚFALO DO MARAJÓ”, NA DATA DE 31/07/2026, PARA A PROGRAMAÇÃO EM QUE NO MÊS DE JULHO, PERIODO DE FÉRIAS ACONTECERÁ O VERÃO PIRABAS 2026 EM SÃO JOÃO DE PIRABAS NO ESPAÇO CULTURAL MARIA PAJÉ",09/07/2026,21/07/2026,SAO JOAO DE PIRABAS,PREFEITURA MUNICIPAL DE SAO JOAO DE PIRABAS,REALIZADA,"182.000,00","150.000,00"
Lei n° 14.133/2021,021/2026,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4334125,PREGÃO ELETRÔNICO,MENOR PREÇO,REGISTRO DE PREÇOS PARA EVENTUAL PRESTAÇÃO DE SERVIÇOS LABORATORIAIS PARA ATENDER O FUNDO MUNICIPAL DE SAÚDE DE SENADOR JOSÉ PORFÍRIO.,31/07/2026,21/07/2026,SENADOR JOSE PORFIRIO,FUNDO MUNICIPAL DE SAUDE,PUBLICADA,"1.712.701,14","0,00"
Lei n° 14.133/2021,007/2026 – SEMAP,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4294229,PREGÃO ELETRÔNICO,MENOR PREÇO,"AQUISIÇÃO DE EQUIPAMENTO PERMANENTE E DE CONSUMO, PARA SUPRIR AS NECESSIDADES DA SECRETARIA MUNICIPAL DE AGRICULTURA E PESCA",29/04/2026,21/07/2026,SANTAREM,SECRETARIA MUNICIPAL DE AGRICULTURA E PESCA,PUBLICADA,"340.576,82","0,00"
Lei n° 14.133/2021,9.2026-00031,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4334311,PREGÃO ELETRÔNICO,MENOR PREÇO,"SISTEMA REGISTRO DE PREÇOS- CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA O FORNECIMENTO CONTÍNUO DE MATERIAIS TÉCNICOS DESCARTÁVEIS, DESTINADOS AO ATENDIMENTO DA REDE PÚBLICA DE SAÚDE, SOB A GESTÃO DA SECRETARIA MUNICIPAL DE SAÚDE DO MUNICIPIO DE ÓBIDOS/PARÁ, VISANDO GARANTIR O ABASTECIMENTO REGULAR DAS UNIDADES DE SAÚDE E A CONTINUIDADE DOS SERVIÇOS ASSISTENCIAIS PRESTADOS À POPULAÇÃO.",31/07/2026,21/07/2026,OBIDOS,FUNDO MUNICIPAL DE SAUDE,PUBLICADA,"3.175.274,39","0,00"
Lei n° 14.133/2021,9.2026-00014,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333703,PREGÃO ELETRÔNICO,MENOR PREÇO,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA FORNECIMENTO, MONTAGEM, MANUTENÇÃO E DESMONTAGEM DA ESTRUTURA COMPLETA PARA RODEIO, INCLUINDO: ARENA COM BRETES E CURRAIS, ARQUIBANCADAS E CAMAROTES, PALCO, ILUMINAÇÃO E SONORIZAÇÃO E IMAGENS EM TEMPO REAL EM TELÃO, ALAMBRADO DE SEGURANÇA, BANHEIROS QUÍMICOS, EQUIPE DE APOIO TÉCNICO, SHOW DE ABERTURA DO EVENTO, SHOW PIROTÉCNICO, LOCUÇÃO ESPECIALIZADA, E DEMAIS EXIGÊNCIAS ESTABELECIDAS NESTE EDITAL E SEUS ANEXOS",05/08/2026,21/07/2026,URUARA,PREFEITURA MUNICIPAL DE URUARA,PUBLICADA,"1.215.233,33","0,00"
Lei n° 14.133/2021,029/2026,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4334380,PREGÃO ELETRÔNICO,MENOR PREÇO,"PREGÃO ELETRÔNICO PARA CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA O FORNECIMENTO DE 02 (DUAS) AMBULANCHAS (AMBULÂNCIA TIPO F), CONFORME A EMENDA PARLAMENTAR DE Nº 202239010002 (PLANO DE AÇÃO 09032022-015371/2022), E A EMENDA PARLAMENTAR DE Nº 202543900005 (PLANO DE AÇÃO 09032025-2-088447/2025), PARA ATENDER AS NECESSIDADES DA SECRETARIA MUNICIPAL DE SAÚDE - SEMSA",07/08/2026,21/07/2026,SANTAREM,FUNDO MUNICIPAL DE SAUDE,PUBLICADA,"711.658,22","0,00"
