Legislação,Número,Link Ficha,Modalidade,Tipo,Objeto,Data Abertura,Data Publicação,Município,Órgão,Situação,Valor Referência (R$),Valor Adjudicado (R$)
Lei n° 14.133/2021,018.2026.040.01,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333881,ADESÃO A ATA DE SRP (CONCORRÊNCIA PÚBLICA E PREGÃO PRESENCIAL OU ELETRÔNICO),MENOR PREÇO,"ADESÃO DE ATA DE CAMIONETE CABINE SIMPLES, VEÍCULO AUTOMOTOR TIPO CAMIONETE “PICK-UP”, ZERO QUILÔMETRO, PARA ATENDER ÀS DEMANDAS DA SECRETARIA DE OBRAS, TRANSPORTES E SERVIÇOS URBVANOS DO MUNICÍPIO DE ÁGUA AZUL DO NORTE – PA.",21/07/2026,21/07/2026,AGUA AZUL DO NORTE,PREFEITURA MUNICIPAL DE AGUA AZUL DO NORTE,PUBLICADA,"253.500,00","0,00"
Lei n° 14.133/2021,040-2026 FMS,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333979,PREGÃO ELETRÔNICO,MENOR PREÇO,"REGISTRO DE PREÇOS VISANDO FUTURA AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS, DESTINADOS A SUPRIR A DEMANDA DA SECRETARIA MUNICIPAL DE SAÚDE DE RONDON DO PARÁ.",03/08/2026,21/07/2026,RONDON DO PARA,FUNDO MUNICIPAL DE SAUDE,PUBLICADA,"780.778,18","0,00"
Lei n° 14.133/2021,005/2026,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333996,"INEXIGIBILIDADE, ART. 74, INCISO V",NÃO SE APLICA,"AQUISIÇÃO PELO MUNICÍPIO DE AFUÁ, DE BEM IMÓVEL URBANO DESTINADO À IMPLANTAÇÃO DAS 50 CASAS HABITACIONAIS DO PROGRAMA MINHA CASA MINHA VIDA (PMCMV) NO ÂMBITO DO MUNICIPIO DE AFUÁ/PA, CONSISTENTE EM TERRENO URBANO DESOCUPADO, LOCALIZADO NO BAIRRO DO CAPIM MARINHO, QUADRA Nº 48, LOCALIZADA ENTRE AS RUAS 07 E 08 ENTRE AS AVENIDAS Nº 05 E 06 E A QUADRA Nº 55, LOCALIZADA ENTRE AS RUAS Nº 08 E 09 E ENTRE AS AVENIDAS 05 E 06, ZONA URBANA DE AFUÁ/PA",15/06/2026,21/07/2026,AFUA,PREFEITURA MUNICIPAL DE AFUA,PUBLICADA,"250.000,00","0,00"
Outras,002/2026,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333417,OUTRAS DESPESAS - EVENTO 2199,NÃO SE APLICA,"TERMO DE FOMENTO DA LIGA ATLÉTICA DE CASTANHAL – LAC, ASSOCIAÇÃO CIVIL SEM FINS LUCRATIVOS, CASTANHAL – 2026.",10/06/2026,21/07/2026,CASTANHAL,FUNDO MUN. DE ESPORTE,REALIZADA,"440.000,00","440.000,00"
Lei n° 14.133/2021,021/2026,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4330935,"DISPENSA, ART. 75, INCISOS VIII",NÃO SE APLICA,"AQUISIÇÃO EMERGENCIAL DE KIT DORMITÓRIO, COLCHÃO E IDENTIFICAÇÃO OFICIAL DOS KITS A SEREM ENTREGUES PARA CONCESSÃO DE AJUDA HUMANITÁRIA ÀS FAMÍLIAS AFETADAS PELAS CHUVAS INTENSAS, NO MUNICÍPIO DE TOMÉ-AÇU/PA, CONFORME SITUAÇÃO DE EMERGÊNCIA RECONHECIDA PELO GOVERNO FEDERAL E METAS APROVADAS PELA SEDEC/MIDR.",25/06/2026,21/07/2026,TOME-ACU,PREFEITURA MUNICIPAL DE TOME-ACU,PUBLICADA,"98.691,40","0,00"
Lei n° 14.133/2021,019.2/2026,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4332779,PREGÃO ELETRÔNICO,MENOR PREÇO,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE KITS DORMITÓRIO QUE ATENDAM OS CRITÉRIOS DE QUALIDADE EXIGIDOS, DE MODO A GARANTIR O CONFORTO MÍNIMO E BEM ESTAR DE FAMÍLIAS EM SITUAÇÃO DE VULNERABILIDADE SOCIAL, BEM COMO ATENDIMENTO DE DEMANDAS ESPONTÂNEAS DESTA SECRETARIA MUNICIPAL DE CIDADANIA, ASSISTÊNCIA SOCIAL E TRABALHO, CONFORME CONDIÇÕES, QUANTIDADES E EXIGÊNCIAS ESTABELECIDAS NESTE EDITAL E SEUS ANEXOS.",03/08/2026,21/07/2026,ANANINDEUA,FUNDO MUNICIPAL DE ASSIST SOCIAL,PUBLICADA,"3.930.100,00","0,00"
Lei n° 14.133/2021,003/2026-INEX,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4313823,"INEXIGIBILIDADE, ART. 74, INCISO III, “C”",NÃO SE APLICA,"CONTRATAÇÃO DE SERVIÇOS TÉCNICOS ESPECIALIZADOS DE CONSULTORIA TÉCNICA LEGISLATIVA, CONSISTENTES NO ASSESSORAMENTO E SUPORTE TÉCNICO PARA ELABORAÇÃO, ANÁLISE E REVISÃO DE MATÉRIAS LEGISLATIVAS E ATOS NORMATIVOS NA CÂMARA MUNICIPAL DE BRAGANÇA.",06/05/2026,21/07/2026,BRAGANCA,CAMARA MUNICIPAL DE BRAGANCA,REALIZADA,"32.000,00","32.000,00"
Lei n° 14.133/2021,7.2026-030701,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333926,"DISPENSA, ART. 75, INCISO II",MENOR PREÇO,"CONTRATAÇÃO DE EMPRESA DE EVENTOS PARA ORGANIZAÇÃO E REALIZAÇÃO DO ""V FESTIVAL  DO TUÍ"", NA VILA PORÇÃO DO MUNICÍPIO DE GARRAFÃO DO NORTE-PA",08/07/2026,21/07/2026,GARRAFAO DO NORTE,PREFEITURA MUNICIPAL DE GARRAFAO DO NORTE,REALIZADA,"38.041,80","38.041,80"
Lei n° 14.133/2021,049/2026- PE,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4334268,PREGÃO ELETRÔNICO,MENOR PREÇO,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE LOCAÇÃO DE VEÍCULOS COM CONDUTOR E MONITOR PARA TRANSPORTE ESCOLAR RODOVIÁRIO, VISANDO ATENDER ÀS NECESSIDADES DOS ALUNOS DAS REDES MUNICIPAL E ESTADUAL DE ITAITUBA/PA.",04/08/2026,21/07/2026,ITAITUBA,SEME/FUNDO M DE EDUCACAO,PUBLICADA,"644.442,75","0,00"
Lei n° 14.133/2021,014/2026,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333638,PREGÃO ELETRÔNICO,MENOR PREÇO,REGISTRO DE PREÇO PARA CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇO DE TRANSPORTE ESCOLAR DOS ALUNOS DO MUNICÍPIO DE SÃO FRANCISCO DO PARÁ.,04/08/2026,21/07/2026,SAO FRANCISCO DO PARA,FUNDO MUNICIPAL DE EDUCACAO,PUBLICADA,"4.513.622,40","0,00"
